id;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1
675;Aké má číslo Marek Moravčík ?;Aké telefónne číslo má Marek Moravčík ?;Ako sa dovolám Marek Moravčík ?;Mobilné číslo Marek Moravčík ?;Chcem zavolať Marek Moravčík ?;Marek Moravčík  t. č.: 041/5131767
676;Aké má číslo Jozef Papán ?;Aké telefónne číslo má Jozef Papán ?;Ako sa dovolám Jozef Papán ?;Mobilné číslo Jozef Papán ?;Chcem zavolať Jozef Papán ?;Jozef Papán  t. č.: 041/5134318
677;Aké má číslo Pavel Segeč ?;Aké telefónne číslo má Pavel Segeč ?;Ako sa dovolám Pavel Segeč ?;Mobilné číslo Pavel Segeč ?;Chcem zavolať Pavel Segeč ?;Pavel Segeč  t. č.: 041/5134323
678;Aké má číslo Ondrej Škvarek ?;Aké telefónne číslo má Ondrej Škvarek ?;Ako sa dovolám Ondrej Škvarek ?;Mobilné číslo Ondrej Škvarek ?;Chcem zavolať Ondrej Škvarek ?;Ondrej Škvarek  t. č.: 041/5134327
679;Aké má číslo Juraj Smieško ?;Aké telefónne číslo má Juraj Smieško ?;Ako sa dovolám Juraj Smieško ?;Mobilné číslo Juraj Smieško ?;Chcem zavolať Juraj Smieško ?;Juraj Smieško  t. č.: 041/5134306
680;Aké má číslo Jana Uramová ?;Aké telefónne číslo má Jana Uramová ?;Ako sa dovolám Jana Uramová ?;Mobilné číslo Jana Uramová ?;Chcem zavolať Jana Uramová ?;Jana Uramová  t. č.: 041/5131764
681;Na akej katedre je Lukáš Čechovič ?;Pre akú katedru učí Lukáš Čechovič ?;Ku ktorej katedre patrí Lukáš Čechovič ?;Pod akou katedrou je Lukáš Čechovič ?;Na ktorej katedre vyučuje Lukáš Čechovič ?;Lukáš Čechovič: katedra technickej kybernetiky
682;Na akej katedre je Viera Černeková ?;Pre akú katedru učí Viera Černeková ?;Ku ktorej katedre patrí Viera Černeková ?;Pod akou katedrou je Viera Černeková ?;Na ktorej katedre vyučuje Viera Černeková ?;Viera Černeková: katedra technickej kybernetiky
683;Na akej katedre je Miroslav Chochul ?;Pre akú katedru učí Miroslav Chochul ?;Ku ktorej katedre patrí Miroslav Chochul ?;Pod akou katedrou je Miroslav Chochul ?;Na ktorej katedre vyučuje Miroslav Chochul ?;Miroslav Chochul: katedra technickej kybernetiky
684;Na akej katedre je Lukáš Formanek ?;Pre akú katedru učí Lukáš Formanek ?;Ku ktorej katedre patrí Lukáš Formanek ?;Pod akou katedrou je Lukáš Formanek ?;Na ktorej katedre vyučuje Lukáš Formanek ?;Lukáš Formanek: katedra technickej kybernetiky
685;Na akej katedre je Michal Hodoň ?;Pre akú katedru učí Michal Hodoň ?;Ku ktorej katedre patrí Michal Hodoň ?;Pod akou katedrou je Michal Hodoň ?;Na ktorej katedre vyučuje Michal Hodoň ?;Michal Hodoň: katedra technickej kybernetiky
686;Na akej katedre je Martin Húdik ?;Pre akú katedru učí Martin Húdik ?;Ku ktorej katedre patrí Martin Húdik ?;Pod akou katedrou je Martin Húdik ?;Na ktorej katedre vyučuje Martin Húdik ?;Martin Húdik: katedra technickej kybernetiky
687;Na akej katedre je Adam Jaroš ?;Pre akú katedru učí Adam Jaroš ?;Ku ktorej katedre patrí Adam Jaroš ?;Pod akou katedrou je Adam Jaroš ?;Na ktorej katedre vyučuje Adam Jaroš ?;Adam Jaroš: katedra technickej kybernetiky
688;Na akej katedre je Ján Kapitulík ?;Pre akú katedru učí Ján Kapitulík ?;Ku ktorej katedre patrí Ján Kapitulík ?;Pod akou katedrou je Ján Kapitulík ?;Na ktorej katedre vyučuje Ján Kapitulík ?;Ján Kapitulík: katedra technickej kybernetiky
689;Na akej katedre je Ondrej Karpiš ?;Pre akú katedru učí Ondrej Karpiš ?;Ku ktorej katedre patrí Ondrej Karpiš ?;Pod akou katedrou je Ondrej Karpiš ?;Na ktorej katedre vyučuje Ondrej Karpiš ?;Ondrej Karpiš: katedra technickej kybernetiky
690;Na akej katedre je Juraj Miček ?;Pre akú katedru učí Juraj Miček ?;Ku ktorej katedre patrí Juraj Miček ?;Pod akou katedrou je Juraj Miček ?;Na ktorej katedre vyučuje Juraj Miček ?;Juraj Miček: katedra technickej kybernetiky
691;Na akej katedre je Jana Milanová ?;Pre akú katedru učí Jana Milanová ?;Ku ktorej katedre patrí Jana Milanová ?;Pod akou katedrou je Jana Milanová ?;Na ktorej katedre vyučuje Jana Milanová ?;Jana Milanová: katedra technickej kybernetiky
692;Na akej katedre je Veronika Olešnaníková ?;Pre akú katedru učí Veronika Olešnaníková ?;Ku ktorej katedre patrí Veronika Olešnaníková ?;Pod akou katedrou je Veronika Olešnaníková ?;Na ktorej katedre vyučuje Veronika Olešnaníková ?;Veronika Olešnaníková: katedra technickej kybernetiky
693;Na akej katedre je Peter Šarafín ?;Pre akú katedru učí Peter Šarafín ?;Ku ktorej katedre patrí Peter Šarafín ?;Pod akou katedrou je Peter Šarafín ?;Na ktorej katedre vyučuje Peter Šarafín ?;Peter Šarafín: katedra technickej kybernetiky
694;Na akej katedre je Peter Ševčík ?;Pre akú katedru učí Peter Ševčík ?;Ku ktorej katedre patrí Peter Ševčík ?;Pod akou katedrou je Peter Ševčík ?;Na ktorej katedre vyučuje Peter Ševčík ?;Peter Ševčík: katedra technickej kybernetiky
695;Na akej katedre je Róbert Žalman ?;Pre akú katedru učí Róbert Žalman ?;Ku ktorej katedre patrí Róbert Žalman ?;Pod akou katedrou je Róbert Žalman ?;Na ktorej katedre vyučuje Róbert Žalman ?;Róbert Žalman: katedra technickej kybernetiky
696;Na akej katedre je Katarína Bachratá ?;Pre akú katedru učí Katarína Bachratá ?;Ku ktorej katedre patrí Katarína Bachratá ?;Pod akou katedrou je Katarína Bachratá ?;Na ktorej katedre vyučuje Katarína Bachratá ?;Katarína Bachratá: katedra softvérových technológií
697;Na akej katedre je Hynek Bachratý ?;Pre akú katedru učí Hynek Bachratý ?;Ku ktorej katedre patrí Hynek Bachratý ?;Pod akou katedrou je Hynek Bachratý ?;Na ktorej katedre vyučuje Hynek Bachratý ?;Hynek Bachratý: katedra softvérových technológií
698;Na akej katedre je Iveta Belošovičová ?;Pre akú katedru učí Iveta Belošovičová ?;Ku ktorej katedre patrí Iveta Belošovičová ?;Pod akou katedrou je Iveta Belošovičová ?;Na ktorej katedre vyučuje Iveta Belošovičová ?;Iveta Belošovičová: katedra softvérových technológií
699;Na akej katedre je Alžbeta Bohiniková ?;Pre akú katedru učí Alžbeta Bohiniková ?;Ku ktorej katedre patrí Alžbeta Bohiniková ?;Pod akou katedrou je Alžbeta Bohiniková ?;Na ktorej katedre vyučuje Alžbeta Bohiniková ?;Alžbeta Bohiniková: katedra softvérových technológií
700;Na akej katedre je Ivan Cimrák ?;Pre akú katedru učí Ivan Cimrák ?;Ku ktorej katedre patrí Ivan Cimrák ?;Pod akou katedrou je Ivan Cimrák ?;Na ktorej katedre vyučuje Ivan Cimrák ?;Ivan Cimrák: katedra softvérových technológií
701;Na akej katedre je Michal Ďuračík ?;Pre akú katedru učí Michal Ďuračík ?;Ku ktorej katedre patrí Michal Ďuračík ?;Pod akou katedrou je Michal Ďuračík ?;Na ktorej katedre vyučuje Michal Ďuračík ?;Michal Ďuračík: katedra softvérových technológií
702;Na akej katedre je Kristína Ďuračíková ?;Pre akú katedru učí Kristína Ďuračíková ?;Ku ktorej katedre patrí Kristína Ďuračíková ?;Pod akou katedrou je Kristína Ďuračíková ?;Na ktorej katedre vyučuje Kristína Ďuračíková ?;Kristína Ďuračíková: katedra softvérových technológií
703;Na akej katedre je Miroslav Gábor ?;Pre akú katedru učí Miroslav Gábor ?;Ku ktorej katedre patrí Miroslav Gábor ?;Pod akou katedrou je Miroslav Gábor ?;Na ktorej katedre vyučuje Miroslav Gábor ?;Miroslav Gábor: katedra softvérových technológií
704;Na akej katedre je Patrik Hrkút ?;Pre akú katedru učí Patrik Hrkút ?;Ku ktorej katedre patrí Patrik Hrkút ?;Pod akou katedrou je Patrik Hrkút ?;Na ktorej katedre vyučuje Patrik Hrkút ?;Patrik Hrkút: katedra softvérových technológií
705;Na akej katedre je Miroslav Hrnčiar ?;Pre akú katedru učí Miroslav Hrnčiar ?;Ku ktorej katedre patrí Miroslav Hrnčiar ?;Pod akou katedrou je Miroslav Hrnčiar ?;Na ktorej katedre vyučuje Miroslav Hrnčiar ?;Miroslav Hrnčiar: katedra softvérových technológií
706;Na akej katedre je Iveta Jančigová ?;Pre akú katedru učí Iveta Jančigová ?;Ku ktorej katedre patrí Iveta Jančigová ?;Pod akou katedrou je Iveta Jančigová ?;Na ktorej katedre vyučuje Iveta Jančigová ?;Iveta Jančigová: katedra softvérových technológií
707;Na akej katedre je Ján Janech ?;Pre akú katedru učí Ján Janech ?;Ku ktorej katedre patrí Ján Janech ?;Pod akou katedrou je Ján Janech ?;Na ktorej katedre vyučuje Ján Janech ?;Ján Janech: katedra softvérových technológií
708;Na akej katedre je Emil Kršák ?;Pre akú katedru učí Emil Kršák ?;Ku ktorej katedre patrí Emil Kršák ?;Pod akou katedrou je Emil Kršák ?;Na ktorej katedre vyučuje Emil Kršák ?;Emil Kršák: katedra softvérových technológií
709;Na akej katedre je Matej Meško ?;Pre akú katedru učí Matej Meško ?;Ku ktorej katedre patrí Matej Meško ?;Pod akou katedrou je Matej Meško ?;Na ktorej katedre vyučuje Matej Meško ?;Matej Meško: katedra softvérových technológií
710;Na akej katedre je Peter Novotný ?;Pre akú katedru učí Peter Novotný ?;Ku ktorej katedre patrí Peter Novotný ?;Pod akou katedrou je Peter Novotný ?;Na ktorej katedre vyučuje Peter Novotný ?;Peter Novotný: katedra softvérových technológií
711;Na akej katedre je Ján Ružbarský ?;Pre akú katedru učí Ján Ružbarský ?;Ku ktorej katedre patrí Ján Ružbarský ?;Pod akou katedrou je Ján Ružbarský ?;Na ktorej katedre vyučuje Ján Ružbarský ?;Ján Ružbarský: katedra softvérových technológií
712;Na akej katedre je Monika Smiešková ?;Pre akú katedru učí Monika Smiešková ?;Ku ktorej katedre patrí Monika Smiešková ?;Pod akou katedrou je Monika Smiešková ?;Na ktorej katedre vyučuje Monika Smiešková ?;Monika Smiešková: katedra softvérových technológií
713;Na akej katedre je Viliam Tavač. ?;Pre akú katedru učí Viliam Tavač. ?;Ku ktorej katedre patrí Viliam Tavač. ?;Pod akou katedrou je Viliam Tavač. ?;Na ktorej katedre vyučuje Viliam Tavač. ?;Viliam Tavač.: katedra softvérových technológií
714;Na akej katedre je Marek Tavač ?;Pre akú katedru učí Marek Tavač ?;Ku ktorej katedre patrí Marek Tavač ?;Pod akou katedrou je Marek Tavač ?;Na ktorej katedre vyučuje Marek Tavač ?;Marek Tavač: katedra softvérových technológií
715;Na akej katedre je Štefan Toth ?;Pre akú katedru učí Štefan Toth ?;Ku ktorej katedre patrí Štefan Toth ?;Pod akou katedrou je Štefan Toth ?;Na ktorej katedre vyučuje Štefan Toth ?;Štefan Toth: katedra softvérových technológií
716;Na akej katedre je Norbert Adamko ?;Pre akú katedru učí Norbert Adamko ?;Ku ktorej katedre patrí Norbert Adamko ?;Pod akou katedrou je Norbert Adamko ?;Na ktorej katedre vyučuje Norbert Adamko ?;Norbert Adamko: katedra matematických metód a operačnej analýzy
717;Na akej katedre je Rudolf Blaško ?;Pre akú katedru učí Rudolf Blaško ?;Ku ktorej katedre patrí Rudolf Blaško ?;Pod akou katedrou je Rudolf Blaško ?;Na ktorej katedre vyučuje Rudolf Blaško ?;Rudolf Blaško: katedra matematických metód a operačnej analýzy
718;Na akej katedre je Zuzana Borčinová ?;Pre akú katedru učí Zuzana Borčinová ?;Ku ktorej katedre patrí Zuzana Borčinová ?;Pod akou katedrou je Zuzana Borčinová ?;Na ktorej katedre vyučuje Zuzana Borčinová ?;Zuzana Borčinová: katedra matematických metód a operačnej analýzy
719;Na akej katedre je Ľuboš Buzna ?;Pre akú katedru učí Ľuboš Buzna ?;Ku ktorej katedre patrí Ľuboš Buzna ?;Pod akou katedrou je Ľuboš Buzna ?;Na ktorej katedre vyučuje Ľuboš Buzna ?;Ľuboš Buzna: katedra matematických metód a operačnej analýzy
720;Na akej katedre je Peter Czimmermann ?;Pre akú katedru učí Peter Czimmermann ?;Ku ktorej katedre patrí Peter Czimmermann ?;Pod akou katedrou je Peter Czimmermann ?;Na ktorej katedre vyučuje Peter Czimmermann ?;Peter Czimmermann: katedra matematických metód a operačnej analýzy
721;Na akej katedre je Lýdia Gábrišová ?;Pre akú katedru učí Lýdia Gábrišová ?;Ku ktorej katedre patrí Lýdia Gábrišová ?;Pod akou katedrou je Lýdia Gábrišová ?;Na ktorej katedre vyučuje Lýdia Gábrišová ?;Lýdia Gábrišová: katedra matematických metód a operačnej analýzy
722;Na akej katedre je Dalibor Gonda ?;Pre akú katedru učí Dalibor Gonda ?;Ku ktorej katedre patrí Dalibor Gonda ?;Pod akou katedrou je Dalibor Gonda ?;Na ktorej katedre vyučuje Dalibor Gonda ?;Dalibor Gonda: katedra matematických metód a operačnej analýzy
723;Na akej katedre je Jaroslav Janáček ?;Pre akú katedru učí Jaroslav Janáček ?;Ku ktorej katedre patrí Jaroslav Janáček ?;Pod akou katedrou je Jaroslav Janáček ?;Na ktorej katedre vyučuje Jaroslav Janáček ?;Jaroslav Janáček: katedra matematických metód a operačnej analýzy
724;Na akej katedre je Peter Jankovič ?;Pre akú katedru učí Peter Jankovič ?;Ku ktorej katedre patrí Peter Jankovič ?;Pod akou katedrou je Peter Jankovič ?;Na ktorej katedre vyučuje Peter Jankovič ?;Peter Jankovič: katedra matematických metód a operačnej analýzy
725;Na akej katedre je Ľudmila Jánošíková ?;Pre akú katedru učí Ľudmila Jánošíková ?;Ku ktorej katedre patrí Ľudmila Jánošíková ?;Pod akou katedrou je Ľudmila Jánošíková ?;Na ktorej katedre vyučuje Ľudmila Jánošíková ?;Ľudmila Jánošíková: katedra matematických metód a operačnej analýzy
726;Na akej katedre je Maroš Janovec ?;Pre akú katedru učí Maroš Janovec ?;Ku ktorej katedre patrí Maroš Janovec ?;Pod akou katedrou je Maroš Janovec ?;Na ktorej katedre vyučuje Maroš Janovec ?;Maroš Janovec: katedra matematických metód a operačnej analýzy
727;Na akej katedre je Alžbeta Klaudinyová ?;Pre akú katedru učí Alžbeta Klaudinyová ?;Ku ktorej katedre patrí Alžbeta Klaudinyová ?;Pod akou katedrou je Alžbeta Klaudinyová ?;Na ktorej katedre vyučuje Alžbeta Klaudinyová ?;Alžbeta Klaudinyová: katedra matematických metód a operačnej analýzy
728;Na akej katedre je Michal Koháni ?;Pre akú katedru učí Michal Koháni ?;Ku ktorej katedre patrí Michal Koháni ?;Pod akou katedrou je Michal Koháni ?;Na ktorej katedre vyučuje Michal Koháni ?;Michal Koháni: katedra matematických metód a operačnej analýzy
729;Na akej katedre je Aleš Kozubík ?;Pre akú katedru učí Aleš Kozubík ?;Ku ktorej katedre patrí Aleš Kozubík ?;Pod akou katedrou je Aleš Kozubík ?;Na ktorej katedre vyučuje Aleš Kozubík ?;Aleš Kozubík: katedra matematických metód a operačnej analýzy
730;Na akej katedre je Michal Lekýr ?;Pre akú katedru učí Michal Lekýr ?;Ku ktorej katedre patrí Michal Lekýr ?;Pod akou katedrou je Michal Lekýr ?;Na ktorej katedre vyučuje Michal Lekýr ?;Michal Lekýr: katedra matematických metód a operačnej analýzy
731;Na akej katedre je Tomáš Majer ?;Pre akú katedru učí Tomáš Majer ?;Ku ktorej katedre patrí Tomáš Majer ?;Pod akou katedrou je Tomáš Majer ?;Na ktorej katedre vyučuje Tomáš Majer ?;Tomáš Majer: katedra matematických metód a operačnej analýzy
732;Na akej katedre je Peter Márton ?;Pre akú katedru učí Peter Márton ?;Ku ktorej katedre patrí Peter Márton ?;Pod akou katedrou je Peter Márton ?;Na ktorej katedre vyučuje Peter Márton ?;Peter Márton: katedra matematických metód a operačnej analýzy
733;Na akej katedre je Ľubica Michálková ?;Pre akú katedru učí Ľubica Michálková ?;Ku ktorej katedre patrí Ľubica Michálková ?;Pod akou katedrou je Ľubica Michálková ?;Na ktorej katedre vyučuje Ľubica Michálková ?;Ľubica Michálková: katedra matematických metód a operačnej analýzy
734;Na akej katedre je Ida Stankovianska ?;Pre akú katedru učí Ida Stankovianska ?;Ku ktorej katedre patrí Ida Stankovianska ?;Pod akou katedrou je Ida Stankovianska ?;Na ktorej katedre vyučuje Ida Stankovianska ?;Ida Stankovianska: katedra matematických metód a operačnej analýzy
735;Na akej katedre je Milan Straka ?;Pre akú katedru učí Milan Straka ?;Ku ktorej katedre patrí Milan Straka ?;Pod akou katedrou je Milan Straka ?;Na ktorej katedre vyučuje Milan Straka ?;Milan Straka: katedra matematických metód a operačnej analýzy
736;Na akej katedre je Peter Tarábek ?;Pre akú katedru učí Peter Tarábek ?;Ku ktorej katedre patrí Peter Tarábek ?;Pod akou katedrou je Peter Tarábek ?;Na ktorej katedre vyučuje Peter Tarábek ?;Peter Tarábek: katedra matematických metód a operačnej analýzy
737;Na akej katedre je Katarína Zábovská ?;Pre akú katedru učí Katarína Zábovská ?;Ku ktorej katedre patrí Katarína Zábovská ?;Pod akou katedrou je Katarína Zábovská ?;Na ktorej katedre vyučuje Katarína Zábovská ?;Katarína Zábovská: katedra matematických metód a operačnej analýzy
738;Na akej katedre je Mária Ďurišová ?;Pre akú katedru učí Mária Ďurišová ?;Ku ktorej katedre patrí Mária Ďurišová ?;Pod akou katedrou je Mária Ďurišová ?;Na ktorej katedre vyučuje Mária Ďurišová ?;Mária Ďurišová: katedra makro a mikroekonomiky
739;Na akej katedre je Lukáš Falát ?;Pre akú katedru učí Lukáš Falát ?;Ku ktorej katedre patrí Lukáš Falát ?;Pod akou katedrou je Lukáš Falát ?;Na ktorej katedre vyučuje Lukáš Falát ?;Lukáš Falát: katedra makro a mikroekonomiky
740;Na akej katedre je Anna Jacková ?;Pre akú katedru učí Anna Jacková ?;Ku ktorej katedre patrí Anna Jacková ?;Pod akou katedrou je Anna Jacková ?;Na ktorej katedre vyučuje Anna Jacková ?;Anna Jacková: katedra makro a mikroekonomiky
741;Na akej katedre je Zuzana Kozubíková ?;Pre akú katedru učí Zuzana Kozubíková ?;Ku ktorej katedre patrí Zuzana Kozubíková ?;Pod akou katedrou je Zuzana Kozubíková ?;Na ktorej katedre vyučuje Zuzana Kozubíková ?;Zuzana Kozubíková: katedra makro a mikroekonomiky
742;Na akej katedre je Alžbeta Kucharčíková ?;Pre akú katedru učí Alžbeta Kucharčíková ?;Ku ktorej katedre patrí Alžbeta Kucharčíková ?;Pod akou katedrou je Alžbeta Kucharčíková ?;Na ktorej katedre vyučuje Alžbeta Kucharčíková ?;Alžbeta Kucharčíková: katedra makro a mikroekonomiky
743;Na akej katedre je Dana Kušnírová ?;Pre akú katedru učí Dana Kušnírová ?;Ku ktorej katedre patrí Dana Kušnírová ?;Pod akou katedrou je Dana Kušnírová ?;Na ktorej katedre vyučuje Dana Kušnírová ?;Dana Kušnírová: katedra makro a mikroekonomiky
744;Na akej katedre je Eva Malichová ?;Pre akú katedru učí Eva Malichová ?;Ku ktorej katedre patrí Eva Malichová ?;Pod akou katedrou je Eva Malichová ?;Na ktorej katedre vyučuje Eva Malichová ?;Eva Malichová: katedra makro a mikroekonomiky
745;Na akej katedre je Viera Muchová ?;Pre akú katedru učí Viera Muchová ?;Ku ktorej katedre patrí Viera Muchová ?;Pod akou katedrou je Viera Muchová ?;Na ktorej katedre vyučuje Viera Muchová ?;Viera Muchová: katedra makro a mikroekonomiky
746;Na akej katedre je Lucia Pančíková ?;Pre akú katedru učí Lucia Pančíková ?;Ku ktorej katedre patrí Lucia Pančíková ?;Pod akou katedrou je Lucia Pančíková ?;Na ktorej katedre vyučuje Lucia Pančíková ?;Lucia Pančíková: katedra makro a mikroekonomiky
747;Na akej katedre je Zuzana Staníková ?;Pre akú katedru učí Zuzana Staníková ?;Ku ktorej katedre patrí Zuzana Staníková ?;Pod akou katedrou je Zuzana Staníková ?;Na ktorej katedre vyučuje Zuzana Staníková ?;Zuzana Staníková: katedra makro a mikroekonomiky
748;Na akej katedre je Emese Tokarčíková ?;Pre akú katedru učí Emese Tokarčíková ?;Ku ktorej katedre patrí Emese Tokarčíková ?;Pod akou katedrou je Emese Tokarčíková ?;Na ktorej katedre vyučuje Emese Tokarčíková ?;Emese Tokarčíková: katedra makro a mikroekonomiky
749;Na akej katedre je Oliver Bubelíny ?;Pre akú katedru učí Oliver Bubelíny ?;Ku ktorej katedre patrí Oliver Bubelíny ?;Pod akou katedrou je Oliver Bubelíny ?;Na ktorej katedre vyučuje Oliver Bubelíny ?;Oliver Bubelíny: katedra manažérskych teórií
750;Na akej katedre je Juraj Dubovec ?;Pre akú katedru učí Juraj Dubovec ?;Ku ktorej katedre patrí Juraj Dubovec ?;Pod akou katedrou je Juraj Dubovec ?;Na ktorej katedre vyučuje Juraj Dubovec ?;Juraj Dubovec: katedra manažérskych teórií
751;Na akej katedre je Martin Holubčík ?;Pre akú katedru učí Martin Holubčík ?;Ku ktorej katedre patrí Martin Holubčík ?;Pod akou katedrou je Martin Holubčík ?;Na ktorej katedre vyučuje Martin Holubčík ?;Martin Holubčík: katedra manažérskych teórií
752;Na akej katedre je Ing. Radoslav Jankal ?;Pre akú katedru učí Ing. Radoslav Jankal ?;Ku ktorej katedre patrí Ing. Radoslav Jankal ?;Pod akou katedrou je Ing. Radoslav Jankal ?;Na ktorej katedre vyučuje Ing. Radoslav Jankal ?;Ing. Radoslav Jankal: katedra manažérskych teórií
753;Na akej katedre je Ing. Gabriel Koman ?;Pre akú katedru učí Ing. Gabriel Koman ?;Ku ktorej katedre patrí Ing. Gabriel Koman ?;Pod akou katedrou je Ing. Gabriel Koman ?;Na ktorej katedre vyučuje Ing. Gabriel Koman ?;Ing. Gabriel Koman: katedra manažérskych teórií
754;Na akej katedre je Ing. Milan Kubina ?;Pre akú katedru učí Ing. Milan Kubina ?;Ku ktorej katedre patrí Ing. Milan Kubina ?;Pod akou katedrou je Ing. Milan Kubina ?;Na ktorej katedre vyučuje Ing. Milan Kubina ?;Ing. Milan Kubina: katedra manažérskych teórií
755;Na akej katedre je Viliam Lendel ?;Pre akú katedru učí Viliam Lendel ?;Ku ktorej katedre patrí Viliam Lendel ?;Pod akou katedrou je Viliam Lendel ?;Na ktorej katedre vyučuje Viliam Lendel ?;Viliam Lendel: katedra manažérskych teórií
756;Na akej katedre je Lucie Lendelová ?;Pre akú katedru učí Lucie Lendelová ?;Ku ktorej katedre patrí Lucie Lendelová ?;Pod akou katedrou je Lucie Lendelová ?;Na ktorej katedre vyučuje Lucie Lendelová ?;Lucie Lendelová: katedra manažérskych teórií
757;Na akej katedre je Mária Liskayová ?;Pre akú katedru učí Mária Liskayová ?;Ku ktorej katedre patrí Mária Liskayová ?;Pod akou katedrou je Mária Liskayová ?;Na ktorej katedre vyučuje Mária Liskayová ?;Mária Liskayová: katedra manažérskych teórií
758;Na akej katedre je Martin Mičiak ?;Pre akú katedru učí Martin Mičiak ?;Ku ktorej katedre patrí Martin Mičiak ?;Pod akou katedrou je Martin Mičiak ?;Na ktorej katedre vyučuje Martin Mičiak ?;Martin Mičiak: katedra manažérskych teórií
759;Na akej katedre je Jakub Soviar ?;Pre akú katedru učí Jakub Soviar ?;Ku ktorej katedre patrí Jakub Soviar ?;Pod akou katedrou je Jakub Soviar ?;Na ktorej katedre vyučuje Jakub Soviar ?;Jakub Soviar: katedra manažérskych teórií
760;Na akej katedre je Dominika Tumová ?;Pre akú katedru učí Dominika Tumová ?;Ku ktorej katedre patrí Dominika Tumová ?;Pod akou katedrou je Dominika Tumová ?;Na ktorej katedre vyučuje Dominika Tumová ?;Dominika Tumová: katedra manažérskych teórií
761;Na akej katedre je Michal Varmus ?;Pre akú katedru učí Michal Varmus ?;Ku ktorej katedre patrí Michal Varmus ?;Pod akou katedrou je Michal Varmus ?;Na ktorej katedre vyučuje Michal Varmus ?;Michal Varmus: katedra manažérskych teórií
762;Na akej katedre je Ján Boháčik ?;Pre akú katedru učí Ján Boháčik ?;Ku ktorej katedre patrí Ján Boháčik ?;Pod akou katedrou je Ján Boháčik ?;Na ktorej katedre vyučuje Ján Boháčik ?;Ján Boháčik: katedra informatiky
763;Na akej katedre je Anna Ilovská ?;Pre akú katedru učí Anna Ilovská ?;Ku ktorej katedre patrí Anna Ilovská ?;Pod akou katedrou je Anna Ilovská ?;Na ktorej katedre vyučuje Anna Ilovská ?;Anna Ilovská: katedra informatiky
764;Na akej katedre je Jozef Kostolný ?;Pre akú katedru učí Jozef Kostolný ?;Ku ktorej katedre patrí Jozef Kostolný ?;Pod akou katedrou je Jozef Kostolný ?;Na ktorej katedre vyučuje Jozef Kostolný ?;Jozef Kostolný: katedra informatiky
765;Na akej katedre je Miroslav Kvaššay ?;Pre akú katedru učí Miroslav Kvaššay ?;Ku ktorej katedre patrí Miroslav Kvaššay ?;Pod akou katedrou je Miroslav Kvaššay ?;Na ktorej katedre vyučuje Miroslav Kvaššay ?;Miroslav Kvaššay: katedra informatiky
766;Na akej katedre je Nika Kvaššayová ?;Pre akú katedru učí Nika Kvaššayová ?;Ku ktorej katedre patrí Nika Kvaššayová ?;Pod akou katedrou je Nika Kvaššayová ?;Na ktorej katedre vyučuje Nika Kvaššayová ?;Nika Kvaššayová: katedra informatiky
767;Na akej katedre je Michal Kvet ?;Pre akú katedru učí Michal Kvet ?;Ku ktorej katedre patrí Michal Kvet ?;Pod akou katedrou je Michal Kvet ?;Na ktorej katedre vyučuje Michal Kvet ?;Michal Kvet: katedra informatiky
768;Na akej katedre je Marek Kvet ?;Pre akú katedru učí Marek Kvet ?;Ku ktorej katedre patrí Marek Kvet ?;Pod akou katedrou je Marek Kvet ?;Na ktorej katedre vyučuje Marek Kvet ?;Marek Kvet: katedra informatiky
769;Na akej katedre je Vitaly Levashenko ?;Pre akú katedru učí Vitaly Levashenko ?;Ku ktorej katedre patrí Vitaly Levashenko ?;Pod akou katedrou je Vitaly Levashenko ?;Na ktorej katedre vyučuje Vitaly Levashenko ?;Vitaly Levashenko: katedra informatiky
770;Na akej katedre je Denisa Maceková ?;Pre akú katedru učí Denisa Maceková ?;Ku ktorej katedre patrí Denisa Maceková ?;Pod akou katedrou je Denisa Maceková ?;Na ktorej katedre vyučuje Denisa Maceková ?;Denisa Maceková: katedra informatiky
771;Na akej katedre je Karol Matiaško ?;Pre akú katedru učí Karol Matiaško ?;Ku ktorej katedre patrí Karol Matiaško ?;Pod akou katedrou je Karol Matiaško ?;Na ktorej katedre vyučuje Karol Matiaško ?;Karol Matiaško: katedra informatiky
772;Na akej katedre je Ján Rabčan ?;Pre akú katedru učí Ján Rabčan ?;Ku ktorej katedre patrí Ján Rabčan ?;Pod akou katedrou je Ján Rabčan ?;Na ktorej katedre vyučuje Ján Rabčan ?;Ján Rabčan: katedra informatiky
773;Na akej katedre je Patrik Rusnák ?;Pre akú katedru učí Patrik Rusnák ?;Ku ktorej katedre patrí Patrik Rusnák ?;Pod akou katedrou je Patrik Rusnák ?;Na ktorej katedre vyučuje Patrik Rusnák ?;Patrik Rusnák: katedra informatiky
774;Na akej katedre je Veronika Šalgová ?;Pre akú katedru učí Veronika Šalgová ?;Ku ktorej katedre patrí Veronika Šalgová ?;Pod akou katedrou je Veronika Šalgová ?;Na ktorej katedre vyučuje Veronika Šalgová ?;Veronika Šalgová: katedra informatiky
775;Na akej katedre je Peter Sedláček ?;Pre akú katedru učí Peter Sedláček ?;Ku ktorej katedre patrí Peter Sedláček ?;Pod akou katedrou je Peter Sedláček ?;Na ktorej katedre vyučuje Peter Sedláček ?;Peter Sedláček: katedra informatiky
